review,predicted_sentiment
oh world link haru hazur ko net ta kaasto dhilo xa ta how k vako haazur ta xittoo vanekai worldlink ho vannu hunxa ta yo complain ho customer care,NEGATIVE
"Don't subscribe world link, very very slow speed, i regret so much for using world link",NEGATIVE
This aap. Is very very nice 💝🔥,POSITIVE
My net is not working since 2 days. I called customer care they are not sending techicians..they are telling half hour and it's being a hole day😒😒.,NEGATIVE
NOT WORKING IN MY PHONE 😭😭,NEGATIVE
Delete this app worst app ever,NEGATIVE
You know what? I'm question my self that why I even bother to connect this network. My internet connection goes in and out like I haven't even touched my router or anything it's slow all the time. Not satisfied,NEGATIVE
Wifi block feature should be added in this app. May developer should read this cmt.,NEGATIVE
The controlar of net internet,NEGATIVE
I love this app . It is easy to use also❤,POSITIVE
"World link khataam isp ho. 10 Mbps ko satta 20 Mbps re khoi mero 10 ko 10 
naixa, 10 Mbps vanepani muskil le 1 Mbps ma chalxa khostaaaaaaa",NEGATIVE
Nice app easy way,POSITIVE
its not opening from out of nepal.i am unknown to view my internet network,NEGATIVE
Khoi tah world link ko app nai khuldainah tah...k vako???,NEGATIVE
Worldlink is the best wireless internet in Nepal 🇳🇵,POSITIVE
best app for wordlink user,POSITIVE
👍👍👍👍,NEGATIVE
The block websites option doesn't work,NEGATIVE
Money focused app,NEGATIVE
DONT USE WORLDLINK AT ALL. WORST SERVICE IN NEPAL. AND THIS APP.... EVEN I CAN DESIGN BETTER AND FUNCTIONAL APP THAN THIS THING.,NEGATIVE
Make it faster this app is slow,NEGATIVE
very poor,NEGATIVE
This app is an wonderfull app.we can pay from home if in our net their will have some issue then we can directly send the mail and they will satisfy us in certain minute of time ... Thanks for caring us this much,POSITIVE
Good.,POSITIVE
I like it😊,POSITIVE
Nice app for worldlink user,POSITIVE
Worse service provider Thinking of terminating services and connecting another service provider,NEGATIVE
it is great app but have some lack of password.,POSITIVE
Awesome 👍,POSITIVE
"About time someone sued this crapy company for all d false claims of their 
high speed...thug bhanekai worldlink",NEGATIVE
U re not providing good services🤬😡😡,POSITIVE
Useful app,POSITIVE
Excellent...,POSITIVE
The ping does too high. I got the network of 30mbps and it shows 23mbps and upload of 7mbps and when i try to contact it. They don't pick up. Worst No response Bad network,NEGATIVE
The new UI is confusing.,NEGATIVE
Net nai chaldaina,NEGATIVE
I think we purchase 20 mbps package but wlink didn't provide that much according to speed ... online game also run hardly After this year I will never use wlink,NEGATIVE
I'm rating 4 stars because sometime We have done payment and it isn't working properly it didn't gives us internet access for a whole day and smtm for 2 .. or more days Other wise it's all facilities are farther better than other Networking sites,NEGATIVE
User id ko kasari change garne,NEGATIVE
All features are excellent but about mac address issues I couldn't find. Give me idea.,POSITIVE
World link ko wifi ma afnai app open hunna data kholnu parxa 😂😂😂. K ho yesto??,NEGATIVE
Crack when update and useless,NEGATIVE
App does not open,POSITIVE
"App koldai koldaina, kasari xalauni hawa",NEGATIVE
"Hi, so my router was offline for 2 weeks. And i tried contacting but you didn't care. And it finally got fixed today after exact 2 weeks. Of my first ticket. And technicians told me ki it was my fault and not of router so i won't be getting compensation days plus i had to pay for a adaptor! Why????? I've already paid for router, installation and 3 months ko! Now why for adaptor?????",NEGATIVE
"Device filtering not working properly, glitch in app, app developer should have a look into the issue.......",NEGATIVE
World slowest internet dilo vanekai world link,NEGATIVE
I don't like,POSITIVE
very very poor service...,NEGATIVE
"This app is useless , whenever I tried to change password it doesn't work. Even it takes a lot time to open app and to see active client is very hard.",NEGATIVE
It doesnot work properly,POSITIVE
Very fantastic 😊😊😊,POSITIVE
App is good. Service khattam bhayo,POSITIVE
"What the duck....Why am i not able to change my password?...Don't deny me 
that one basic freedom otherwise what is the use of owning a private 
internet connection....And Start allowing MAC address blocking ASAP",NEGATIVE
You know what? I'm question my self that why I even bother to connect this network. My internet connection goes in and out like I haven't even touched my router or anything it's slow all the time. Not satisfied,NEGATIVE
Lamo jasto lag bahek Kei hudaina,NEGATIVE
This app is not opening what a rubbis,POSITIVE
Please solve online gaming high ping problem,NEGATIVE
Dear worldlink i regret to inform you that i will not be using your net further because of limited facility. I further regret that i will be switching to other net after using yours for many many years. Please feel free to contact me to get more information about further regrets.,NEGATIVE
"i have a presisting problem of slow internet, very inconsistent connectivity since last three month. there was time you used to be the best service in nepal now its deteroratrating by the day. i am very disappointed. when i post a complaint a guy comes to and restarts my router. haha that i can do my self and you mark my ticket solved. crazy since you switched my router to Nokia. i have not been able to enjoy internet as before and it seem you will not be able to solve the issue in my area. sin",NEGATIVE
yes it is easy to use and also it is helpful,POSITIVE
I recommend you not to connect this Wifi,NEGATIVE
no login,NEGATIVE
slow internet,NEGATIVE
Doesnot work properly even though i am only using internet it takes much time to open youtube videos,NEGATIVE
Worst support.,NEGATIVE
"We had made new connection of worldlink on 14th July 2021 and it's been 19 days. Now we are totally regretting for choosing worldlink. we have paid for 50 mbps but the speed feels like of 10 Mbps. I request everyone not to choose worldlink. Please be alert, by showing the offers they are just trying to trap you.",NEGATIVE
Did not receive pin.....,NEGATIVE
काम चलाउ,NEGATIVE
this new update is awful. switching profile button doesn't work,NEGATIVE
Very nice app,POSITIVE
Worldlink internet & app both are best. Worldlink staff are very polite and honest. I was using worldlink internet from last two year. When i got internet problem in anytime even there is day or night they can solve my problem easily in few minutes. Internet speed is also best as compare to other internet.,NEGATIVE
"Good , enough and easy.",POSITIVE
Doesnt even work properly. Want to add in filtering always say error.. Stupid app,NEGATIVE
Worse internet service ever,NEGATIVE
Khosta net yo jabo 30 mb talako app pani 50 mbps ko netle aadhi ghantama download garxa yll khatey net,NEGATIVE
whenever we logg in the connection get slow,NEGATIVE
Useless app cant even function well when i am using. I hope management team will work on it.,NEGATIVE
Worldlink doesn't provide router access to its customers. The app is only way to manage your security. However the app doesn't provide feature of MAC filtering. It will be much appreciated if it provide MAC filtering option and option for setting data limit for every individual device as parental control.,NEGATIVE
Great app good work from wordlink user interface is pretty much good,POSITIVE
very useful & Easy to use powerful internet speed,POSITIVE
"It works fine, sometimes the speed is slow, otherwise it's fine",NEGATIVE
My pubg would not even open. What is happening with this wifi. Only 1 star from my side.,NEGATIVE
This app is very shlow and didn't send OTP code in mobile,NEGATIVE
Doing good still now . But please increase extention period upto 1 week,POSITIVE
I so happy,POSITIVE
nice but some time net is very slow,NEGATIVE
Internet ta ramro (1st class) chha tara app chai 3rd class. App open huna ra vae sake pachhi pani Vitra aru open hunai time lagne samasya Ajhai samma pani chha 25/02/2022 & still 25/09/2022 toitt,NEGATIVE
It's so good.,POSITIVE
worst app and its service ever !!!,NEGATIVE
Khate net ko khate app kai kam xaina ticket solved re kai problem nai solve bhako hudaina,NEGATIVE
Good network,POSITIVE
One of the best internet provider in Nepal,POSITIVE
Worst customer service worst net servuce,NEGATIVE
✌️,NEGATIVE
Too slow,NEGATIVE
very nice,POSITIVE
ke chali rahe,POSITIVE
Qr code off garne option lyauna paryo wifi lai secure garna,NEGATIVE
Net nai chaldaina,NEGATIVE
Excellent 👍,POSITIVE
Purple u,NEGATIVE
Worldlink is the worst wifi network i have ever used it has so many problems that i literally had to call the worldlink help center 3 to 4 times in a single day some times,NEGATIVE
App doesn't even open anymore.,NEGATIVE
"App is okay but has some buggy interface, j tried removing mac filtering but it always says server busy, at the same time sometime it just doesn't show connected devices. Please check that out.",NEGATIVE
Yesto khate jasto internet hunxa lutera haru ho sab Jindagi ma ramro internet deko din xaina yedi kosai le jodna khoji rakhnu bhako cha bhane na jod da hunxa paila nai bhanxu ma lastai pachutaunu hunxa🤬🤬🤬🤬🤬🤬🤬🤬,NEGATIVE
0 kbps shown net chalepani na chalepani...and the button of kbps and kBps are opposite...also i m not able to change wifi password using this app or your site,NEGATIVE
Very poor internet.. 20 mbps single le chalauda pani 350 ko ping aauxa pubg ma...starting phase ma matra 100 ko ping thyo ..very disgusting👎👎 ..... Khate net ho game ko laii ho bhane ta kasaile Pani na subscribe gare hunxa...slogan chaii xito bhanekaii worldlink re....in reality khattam bhanekaii worldlink,NEGATIVE
Satisfying app!!,POSITIVE
Verry slow .dharai slow xa.suru ko 2 din month fast hunxa paxe slow.,NEGATIVE
Special features app,POSITIVE
I cant change my wifi password through this new app.why? I used to change easily by old one.,NEGATIVE
Euta nepali vayera gali garnu pari raichha. K ho ke tmiharu ho company. Ads chai j pani dekhaidine suvida chai ghant*a.,NEGATIVE
Not a log in time,NEGATIVE
😀,NEGATIVE
the internet is very unstable especially at night worst one I have bought,NEGATIVE
The function of blacklist devices is not working . Can you please fix it.,NEGATIVE
Bhanwarpura gaon,NEGATIVE
It's make easy way being safe from hackers,POSITIVE
Gud,NEGATIVE
this is awasome,NEGATIVE
Very nice,POSITIVE
when i add tge new ticket...and it is not solved but the worldlink   send sms with solved ticket...even i cant apply ticket for same problem mutiple times.,NEGATIVE
One of the worst service app. First of all there are many times when this app won't open. Most of the time the app doesn't work after making a complaint,NEGATIVE
I can't even change my password after update. it shows recent password wrong.,NEGATIVE
Bad connection,NEGATIVE
Such a worst app of a worst network company. Neither wifi works properly nor this app.,NEGATIVE
Radika xora,POSITIVE
Worldlink is paadh... Kei pani chaldaina ..yesto jaabo kam xoina,NEGATIVE
When i want to login i didnot get verification code i am very angry by this kind of activities. This happen so many times. If this again happen i will called media. Pls reply our message. Thank you,NEGATIVE
They are the worst internet provider in Nepal. They are cheaters. They only want money. They dont provide adequate service.,NEGATIVE
Yesto khate jasto internet hunxa lutera haru ho sab Jindagi ma ramro internet deko din xaina yedi kosai le jodna khoji rakhnu bhako cha bhane na jod da hunxa paila nai bhanxu ma lastai pachutaunu hunxa🤬🤬🤬🤬🤬🤬🤬🤬,NEGATIVE
U re not providing good services🤬😡😡,POSITIVE
Connected device is not showing in my phone,NEGATIVE
this net very slo i am parched 5g 120mbbs in chapur piz solve this problem jast do fast 😪🙏🤮,NEGATIVE
"Excellent, prompt response and good service, thanks",POSITIVE
Yekdam jot bakwas gaya gujya net 🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮 slower than snail 😆😆,NEGATIVE
The worst customer service ever i have experience in my entire life. I called them 10times for 1 things and have to informed same scenario. each time the members call asking the same question again. you guys have to maintain proper communication and once your customer terminate the link you have to clear everything quickly. it's been 5days no one has visit to pick a router the wires on road has disturbed to the public almost accident occurred due to hanging wires.team is very irresponsible,NEGATIVE
not sure,POSITIVE
Slow net me n my friend thinking of changing the network,NEGATIVE
First 1 month was good . Internet speed was amazing but after few weeks websites loads slower youtube buffers facebook instagram images takes a lot of time to load.. It feels like i have subscribed to 2-3 mbps internet connection . I have subscribed to 30mbps but internet speed is really slow.,NEGATIVE
Good internet but sometimes it is bad,NEGATIVE
Worldlink is getting low signal nowadays,NEGATIVE
I cant find tge option connected devices,NEGATIVE
I have tried to blacklist unwanted user the first day i started using this app. And till this day the users remain in connected devices list. Tried multiple times with the operator to fix it. Seems like the app is just a mockup of what it should be.,NEGATIVE
slow net i's no word 😶😶,NEGATIVE
Jot Ko Wifi Ho Jhatha Short Range Ma Ni Chaldaina Poisha Matra Manga Time Ma Msg Garxa Tara Net Chaldaina Vano Vane Haina Sir Tyo Ekxin Matra Ho Vanxa Khatey Hru Dhilo Vanekai Worldlink 😡😡😡😡,NEGATIVE
Net is very slow even my wifi speed is40mbps it never works and main point internet is that slow this my worldlink app will also doesn't work,NEGATIVE
Bug on. Android 13 app auto close when we login or we enter app to start fix it soon,NEGATIVE
VERY GOOD,POSITIVE
"If there was minus rating, I would have given that. They offered a scheme of one month free if 3 months payment is done, they didn't added the extra one month, now 3 months has expired, they asked to pay for one month and then only would add the extra one month. I did pay for another one month, but still the problem prevails. I also visited the office several times, but they didn't respond to my query. It's very irresponsible for such a huge company.",NEGATIVE
Kdkdozo,NEGATIVE
Hide good developer. So many bugs 😑,NEGATIVE
All good about its service. Its wise to connect wlink as your Internet access.,POSITIVE
It's package is so cheap And it's speed is too fast than expected,POSITIVE
Many bugs added after the lastest update.,NEGATIVE
Well speed,POSITIVE
"I think adding a new section would have been great for all the latest info and offers ;) #2017_review The app is stuck on loading screen like forever please fix the app, Worldlink!!!",NEGATIVE
It is great app and made easy to customers....hoping to get same supporting facilities from worldlink further.... :),POSITIVE
1 star ko layek ni xaina bakwas service ghari ghari net TV problems ghari net slow vanda ni time ma banai dinna,NEGATIVE
Do not connection to worldlink wifi This network are very froud network any time connection to 25 mpbs speed and buy purchase 200 mpbs speed not connection this connection are very froud network not any people,NEGATIVE
to much expensive and now offers also cut up,NEGATIVE
If there is option of degrading or minus rating i should go through it! Coz i'm unsatisfied with this networking issues!,NEGATIVE
Yr I don't want to say about app but the network connection is too much low😕 While playing games the connection gets low And I play freefire and when enemy comes towards me the network connection goes low and whenever there's on enemy the network goes smooth😕 Plz solve the connection Xito vnekai world hoina hai😕,NEGATIVE
Yo app matra hoina purae internet nai hawa yesto ni hunxa manxey ko k kaam pari rako hunxa yuni haru ko net chai ghumya ghumai kati complain garnu call garer ticket baat yettikai 1/2 din paxi solve vayo vaner ticket ni close gardinxa Xito vanekai worldlink hoina dhilo vanekai world link chai suit garxa.,NEGATIVE
Very poor network only customer service is good...,NEGATIVE
Cheap stunt claims discount but not for you. Damn typical,NEGATIVE
So slow net at the ending days of the net . It doesn't work even only one device is using the net.,NEGATIVE
Every times complains about slow net they always close the ticket without even calling nor they want to visit their customer for their problems.,NEGATIVE
I want give this app zero rating,NEGATIVE
"Worst Service!!! Ticket haleko 3 din bhayo, ajhai banauna aako xaina.",NEGATIVE
Good to use if it gives good bandwidth....,POSITIVE
Nice👍️👍️👍️and👍️👍️👍️best,POSITIVE
Net slow dherai n slow and feedback exprin 10% only Router ko dherain complen xa rwa router provded all custmer ??👎 Problem vyo vne responsibility vne 5% dekhi pni xain ??,NEGATIVE
The app keeps crashing every time,NEGATIVE
World link 💩💩💩😖😡🥱🤬😠😡😈,POSITIVE
Kasaile ni na jodnu hola yo net. 50 mbps jodeko 15 mpbs ko speed ma chalxa. Worst ISP provider.,NEGATIVE
Mind blowing service I am happy to have world link in my life,POSITIVE
The worst app. The worst service. I wouldn't give it even full of a zero. It just freezes when trying to run their app. Wlink is the worst. They increase their internet price every month giving you a funny reason of increasing your bandwidth (which you've never asked for and wanted to) and their so called 150 mbps net goes completely dead when ran two mobiles at once. A total thuggery.,NEGATIVE
It's not working fully but although work something.,NEGATIVE
Tw Randi ko xoraa haru laii ramro sga wifi ko service Dina audena bnee gayerww ghr ma Bada majerw bas,NEGATIVE
Why iam unable to open this apps since few days,NEGATIVE
Worst internet ..I have suscribed 25mbps internet service bt when i checked internet connection speed from various link i got the speed is jst 0.56mbps for downloading and 1.32mbps for uploading.. This company is actually taking advantages with out providing subscribed bandwidth. Let me upload test speed ss here in the public #worldlink .. let all people know about ur truth,NEGATIVE
Our net is notj working well 😡,POSITIVE
"It's like communism doesn't even let access to the router, can just change the password via this app can't do anything else no remote access no specific port forwarding nothing",NEGATIVE
Phone crashing while logging with phone number 🤦,NEGATIVE
My net is not working since 2 days. I called customer care they are not sending techicians..they are telling half hour and it's being a hole day😒😒.,NEGATIVE
Worst wifi network,NEGATIVE
"Poor app, just as poor as the service provided by worldlink. I can't give feedback, app crashes, many features don't work, just like worldlink internet.",NEGATIVE
It's been 5days since I reported my issue..yet! khaita tapai haru aako.. voli aauxu voli aauxu vanera hunxa..,NEGATIVE
Doesn't even load one page but shows optimum speed during speed test everytime. 😡😡😡,NEGATIVE
I want to change wifi password,NEGATIVE
Some suggestions to make the app more better and useful. 1. Please make it possible to see Internet usage on particular device rather than just overall download and upload speed.  2. Make it possible to filter MAC address. 3. Separate bandwidth control for WiFi only not just the overall connection. Please consider implementing the given suggestions.,NEGATIVE
I dont want to rate this world link when playin game net is very slow,NEGATIVE
Searching for 0 star. Worst ever seen.,NEGATIVE
SERIOUSLY it's too much now the worst service provider if I could rate you below 1 star than I would have chosen that using your service since 5 yrs but these days you guys don't give a damn care to the customer issue neither your CSR behaves politely they sound too rude and frustrated in call. Maile hajur hajur ko 50mbps ko net haleko chalne bela 10-15 dekhaunxa k majak hoo yo sab if you can't solve the issue why have you created CsD department na call uthaxa waihat Internet,NEGATIVE
Too bad router performance.....,NEGATIVE
Verry fast,POSITIVE
Really good interface easy and advanced. Well done worldlink.,POSITIVE
Bad network ever,NEGATIVE
Fast,POSITIVE
Non user friendly and worse to use error is more than previous version,NEGATIVE
Noob net conditions I think dhilo vanako nai worldlink ho While getting 40mbps only i played pubg and home user 2 there is no good internet always server did not respond This is our worst worldlink internet .,NEGATIVE
This is a good app,POSITIVE
Always not responding,NEGATIVE
Feeling good with it,POSITIVE
"Nam ko matra app ho matra password ra nam change garna ko lagi use hunxa. App kholxu aja kati chalai bhanera ""opps no data found this months"" yehi ho timi haru ko optimization. K khana update haru push garxau? Jaba ki tyo problem nai resolve hudaina?",NEGATIVE
neither download speed nor upload speed is showing up,NEGATIVE
Love it's,POSITIVE
Good survived,POSITIVE
Love ❤,POSITIVE
worst internet server ever dont use it . khattam internet sewa . kaam xaina yo .,NEGATIVE
"When you connet worldlink then first 3/4 months its relly fast bt slowly its speed decrease, and now my wifi speed is about 15 to 20mbps in speed test, bt my wifi is 30 mbps when i connect, its relly slow,",NEGATIVE
Day by Day this network is going worst I always have ping issue . I have one suggestion for you please change your slogan from xitto vanekai worldlink to lutne vanekai worldlink Worst ISP ever.,NEGATIVE
Bad network. Not good service.,NEGATIVE
Why the application is not opening?? 🤬🤬🤬,POSITIVE
K khala KO met ho Net ni testai Net ko mobile application ni testai Whitelist and block list Pani testai Wakkka lagnnnne yestoooo net chalnu Vanda Nachalune naii thik xa yrr,NEGATIVE
Tera aama ko puti khana yo app bana hos machikne randi ko xoro... Kahile incorrect current password rey kahile new password not confirmed rey machikne muji haru,NEGATIVE
Best...,POSITIVE
keeps crashing when trying to change SSID in android oreo,NEGATIVE
"Worst network service ever .At First it was very convenient to use but after few month network service drop down drastically.It keep on getting no network even after recarging it .It has made my blood boil so much recently.Choosing this network was worst choice ever.I can't use facility like YouTube,tiktok ,game and many more .If I can't use them properly then what is the point of having this network???????",NEGATIVE
This app is not working good.. It's too lack.,POSITIVE
keeps crashing when trying to change SSID in android oreo,NEGATIVE
Dherai slow vo net,NEGATIVE
Extreme Worse service,NEGATIVE
This is very slow internet,NEGATIVE
is basically useless for troubleshooting it doesnt even open for public wifi connection(of freeworldlink) cuz there is no internet,NEGATIVE
Worst services,NEGATIVE
So much dissatisfaction regarding its services nowadays. Very poor internet and NetTv is even poorer,NEGATIVE
"Worst customer service ever. I tried calling them but they just picked up my phone and cut it, this just ended up costing me money. My internet hasn't been working for 2 days, they already opened a ticket and said will be here yesterday, no contact after that. Poor service!!",NEGATIVE
Nirbala Shah,POSITIVE
राम्रो,NEGATIVE
Give me pin code plz,NEGATIVE
Blocking internet user should be possible,NEGATIVE
One of the most worst internet provider ever used. at starting period a couple of week it works fine but after that it is sheen worst than worst. Just hated 😫😫😫,NEGATIVE
So bad internet🙁💩 not good service,NEGATIVE
Pls improve .. why not support in my SM-T210 samsung tablet..,POSITIVE
Disgusting net owner should be hanged with this speed and ome of the most expensive net in asia.,NEGATIVE
Slow network,NEGATIVE
Device Filtering is not working.....,NEGATIVE
Good Internet Provider In Nepal,POSITIVE
net is slow,NEGATIVE
nowdays ...its speed is downgrading ......,NEGATIVE
Worse internet service ever,NEGATIVE
Why doesn't it have blocking option or is it only me who didn't get it.,NEGATIVE
Master degree,POSITIVE
Worse app properly not working 😑😞,NEGATIVE
I cannot change my password ?,NEGATIVE
"App lagging, Device filtering error Even worse after update Old version was better 😔",NEGATIVE
dear worldlink whata a problem app,NEGATIVE
Ver usefull.app. I like it. Thanx Wordlink.,POSITIVE
My problems are being ignored. They are not able to solve. I had to solve my self. I have decided to change to other service . We are running a hotel here...but internet is pissed off Hetauda branch,NEGATIVE
This was the best app I have downloaded because of some of the criticism its got a bad rating but my in opinion this is the best Internet provider in this platform,POSITIVE
Is better for us,POSITIVE
Slow vanyakai worldlink,NEGATIVE
Its awesome,POSITIVE
"Whenever I try to change my password it will not be changed . I typed my current password correctly it shows your password is incorrect. So, my password is not changing",NEGATIVE
Bad.,NEGATIVE
Latest update problem! Update nai hudaina auto close hunxa. App nai chaldaina.,NEGATIVE
nice experience,POSITIVE
Easy app!,POSITIVE
Slow wirking,NEGATIVE
ramroo cha hai,NEGATIVE
Very slow...at first change your slogan change ढिलो भनेको नै worldlink..,NEGATIVE
Don't use this net. It's slow and expensive. Lado net kesto slow chalxa. Muji Kako no internet access.,NEGATIVE
Very fast internet,POSITIVE
best service provider.,POSITIVE
Nice app for net,POSITIVE
It's a best Network in our Nepal Our World link wifi we are so lot of enjoying from world link net very useful,POSITIVE
Good app but needs lot of improvement .auto refresh of connection speed and showing actual present speed.disconnectong and blocking feature. There should not be limit of usage for unlimited connection imo else why call it unlimited,NEGATIVE
Can't able to change wifi password..it is just irrelevant aap..,NEGATIVE
this company is biggest scammer ever,NEGATIVE
Worst service ever😵😵😵,NEGATIVE
Good.. 😌😌🤫🤫😌😌,POSITIVE
H A P P Y,NEGATIVE
this app is too slow,NEGATIVE
I think it is a good app.It shows all details of our WiFi.,POSITIVE
very good experience.,POSITIVE
worst wifi provider from Nepal choose another isp instead,NEGATIVE
❤️❤️,NEGATIVE
amazing app,POSITIVE
Nice apk but it can't run offline,POSITIVE
Good Service. Un interrupted internet with acceptable speed.,POSITIVE
