cleaned_text,sentiment
internet service worst wife speed slow tortoise problem happening wife automatically crash doesnt give one link iam starting playing games started others stuffs wifi doesnt give one link also start crashing showing x mark single although recently pay wifi bill started showing saying couldnt provided network please fix type issues otherwise use companies brand,NEGATIVE
useless application good nothing bad worst applicationdo download,NEGATIVE
best app plz dowload app plz,POSITIVE
free wi fi totally scam otherwise watching one time advertising connecting properly slow internet,NEGATIVE
whats wrong apps instead opening app always goes app info fix,NEGATIVE
helpful,POSITIVE
like app,POSITIVE
useless,NEGATIVE
worst app ever cant even function properly please make app usable practical cant even change password edit whitelisted devices please fix major issues,NEGATIVE
useless app cant even used change wifi password restrict devices network,NEGATIVE
installing,POSITIVE
nice experience,POSITIVE
slow internet poor service dont like internet,NEGATIVE
help,POSITIVE
usefull app,POSITIVE
best app best isp nepal,POSITIVE
good,POSITIVE
good,POSITIVE
useful,POSITIVE
worse app ever use,NEGATIVE
gross net,NEGATIVE
loss surgery slow net,NEGATIVE
manoj mahoto,POSITIVE
love,POSITIVE
login nai hudaina code halda ni error matra hunxa try vanxa,NEGATIVE
ghatiya company slow complain garada response vanxa raughter najik basnu ghatiya company,NEGATIVE
nice,POSITIVE
great work,POSITIVE
app slowneed improve,NEGATIVE
worse internet service,NEGATIVE
useful,POSITIVE
awesome,POSITIVE
nice,POSITIVE
slow net word,NEGATIVE
nice app,POSITIVE
awful app tried edit mac filter list complete headache,NEGATIVE
good internet provider nepal,POSITIVE
great services fast net thanks worldlink team,POSITIVE
sabai vanda slow ra hawaa wifi vanakaii world link hoo na ta range naii na ta ramro net naii xa hawaa wifi ever,NEGATIVE
app good local staff lazy hell dont receive calls arrive late sometimes 2 3 days later takes days resolve simple problems overall customer service local level disastrous looking good internet service providers,NEGATIVE
good,POSITIVE
excellent,POSITIVE
internet fast repairing slow xa bela bela net janxa,NEGATIVE
hay worldlink team please repair app many times try open app,NEGATIVE
app practically useless internet even another internet connection still shows router offline wont let access manage settings router control app work locally network depend entirely isps connection disappointing,NEGATIVE
device filtering z vako mac id filter add garnq mildaina ta,NEGATIVE
cant worse update current worldlink app whenever try check connected devices wifi automatically disconnects reconnects problem happens try change wifi password using app wifi keeps going driving crazy long tolerate worldlink care issue,NEGATIVE
good service,POSITIVE
unmanaged,NEGATIVE
device filter option dont work,NEGATIVE
excellent speed service 1010,POSITIVE
rauter slow work range,NEGATIVE
good,POSITIVE
wow,POSITIVE
connectivity poor,NEGATIVE
worst customer service ever u text send u otp wgen u enter otp says wrong u somehow manage talk straight ignore u via whatsapp,NEGATIVE
khatam xa mug phone garda uthaudaina net ko speed kaxuwa vanda slow xa,NEGATIVE
service low also internet isnt good watch staffs rude domineering,NEGATIVE
verry bad network,NEGATIVE
guys need update,NEGATIVE
wonderfull,POSITIVE
worst app worst customer service experience ever never use app connection,NEGATIVE
1time open hunxa aaru bela aafaii back hunxa hawa update garna paryo,NEGATIVE
good,POSITIVE
im disappoint world link try add devices white list take 5 min loading gives something wrong tried 30 min whitelisted 4 devices last devices whitelist mode devices connected please solved problems,NEGATIVE
ecxellent,NEGATIVE
app biased show fault backend network staff keep messing network connection setting worldlink tells modem offline reality modem online,NEGATIVE
device filtering doesnt work single click,NEGATIVE
home home,POSITIVE
nice,POSITIVE
blacklisting done accurately please kindly use strong software planning accuracy upto mark,POSITIVE
nice job,POSITIVE
best reason,POSITIVE
excellent wonderful,POSITIVE
experience excellent,POSITIVE
whenever open app net automatically goes slow nowadays internet speed become slow,NEGATIVE
password change garna ho vane download garda hunxa natra download nagarnu aru kei open hunna,NEGATIVE
app ramro xain device filtering kam gardain ek patak filtering garepaxi arko phone add garnuparo vane suru add gareko mac afai delete hunx connected device herna khojda pani wifi disconnect hunx,NEGATIVE
worldlink service totally pathetic internet working 10 days still isnt good response technician check go problem still paid yearly plan useless please anyone reading dont join worldlink connection,NEGATIVE
app exceptional easy access,POSITIVE
good,POSITIVE
nice,POSITIVE
satisfied internet service well supportive care alret headoffice,POSITIVE
app bad service recommended period,NEGATIVE
good job,POSITIVE
everything going good,POSITIVE
pretty good app,POSITIVE
previously given one star improved white list feature well chatting features got improved still many features need improved aint enough example chat us feature whenever message start using another app reopen chat opens man way slow features keep improving like would next time give 5 star,NEGATIVE
worsted internet ever try,NEGATIVE
good,POSITIVE
good,POSITIVE
router blank page dekhaune issue wlink lai vanda mainau bitta samma ni banena,NEGATIVE
excellent,POSITIVE
app slow wifi incredible,POSITIVE
good app,POSITIVE
good,POSITIVE
puranai ramro thiyo apps ahila tw multiple select pani garna mildaina tw black list rakhna ni ghumeko ghumai hunxa app posting please make app like cant block unknown person like,NEGATIVE
found fault reached app check connected device tap connected device icon app shows connected device mobile checking mobile connected internet dear worldlink solve fault faster also wifi going slow day day,NEGATIVE
best,POSITIVE
need improve speed,NEGATIVE
good app control device connections,POSITIVE
device filtering working properly glitch app app developer look issue,NEGATIVE
nice,POSITIVE
easy use help us,NEGATIVE
poor service,NEGATIVE
poor net,NEGATIVE
good,POSITIVE
noce,POSITIVE
esay manage access,POSITIVE
excellent,POSITIVE
best service ever,POSITIVE
great app lack password,NEGATIVE
good application,POSITIVE
amazing app,POSITIVE
world link best internet using internet since 2016,POSITIVE
good,POSITIVE
good,POSITIVE
excilent,NEGATIVE
slow wifi,NEGATIVE
good,POSITIVE
please update garnu yo app lastai glich xa white list mode lagdaa app nai glich hunxa system nai chaldaina poor app,NEGATIVE
even login app code coming,NEGATIVE
click 100 time enable disable device filtering worst worst,NEGATIVE
excelent,POSITIVE
helpful,POSITIVE
tori option zero stars one star much app,NEGATIVE
whenever try add delete devices whitelist app doesnt workuseless appp,NEGATIVE
,POSITIVE
good,POSITIVE
amazing fast services,POSITIVE
best,POSITIVE
cant even give straight forward answer asked question questionable customer service,NEGATIVE
nice,POSITIVE
worldlink never fails disappoint,POSITIVE
helpful,POSITIVE
several days wifi power reduces,NEGATIVE
good,POSITIVE
please dont forget router,POSITIVE
amazing service,POSITIVE
good app handling many bugs operating slow loading som features like connected device etc please fixed,POSITIVE
makes much easier works bill payment made also change password network also see expiry date network like love,NEGATIVE
nice,POSITIVE
lot bugs app look device connection even device connected appears connected even get blocked try block 45 times gets blocked forcefully net also runs slow,NEGATIVE
nice,POSITIVE
zero review dina mildaina,NEGATIVE
good job,POSITIVE
best,POSITIVE
safenet back 10 months,NEGATIVE
terrible app cant even handle simple blacklist request takes forever load resets list time time convinced hired nepals low tier app developer sure,NEGATIVE
account diagnostic working technical team responding timevery bad support team,NEGATIVE
device filtering doesnot work properlydevice gets added multiple attemptsit takes long display connected devices,NEGATIVE
good,POSITIVE
world link best isp nepal,POSITIVE
khatam xa refer garna khojyo location ghumeko ghumai garexa,NEGATIVE
slow working perfectly,POSITIVE
much expensive offers also cut,NEGATIVE
best app amongst isps nepal lag bug free app experience,NEGATIVE
provide exllent net,NEGATIVE
net slow,NEGATIVE
great service,POSITIVE
good,POSITIVE
worst experience life,NEGATIVE
nice working,POSITIVE
worst internet servce provider using worldlink 10 years always got 1 year subscription yet give benefits loyal customer concept loyal customer base sluggish customer care calling since 6 days 10 times said thing every single time tapailai call auxa took 5 days call back also solution dont care customer advice go better isps,NEGATIVE
im using apps think apps nice helpful others issues detect apps want apps forever,NEGATIVE
bak bas app xa ramro sang kam kar dai na,NEGATIVE
nice,POSITIVE
weak,NEGATIVE
best wifi,POSITIVE
last slow internet response representative,NEGATIVE
costumers haru lai service ko naam ko guu ho yo worldink chor jastai behaviour xan,NEGATIVE
daily line problem,NEGATIVE
problem occurs even viewing connected devices refreshing app,NEGATIVE
app tooo slow full glitches,NEGATIVE
worst app ever seen worst app like,NEGATIVE
nice time work,POSITIVE
nice,POSITIVE
disappointed bcz want see many people using internet shows loading another want msg worldlink also showing loading frustrated,NEGATIVE
bad app,NEGATIVE
app useful case app crash much dont allow see connected device wifi request worldlink team fix problem soon possible,NEGATIVE
network ramro aaudaina 150 mbps wala wifi le pani 5060 mbps net matra aauxa,NEGATIVE
likeit,POSITIVE
good,POSITIVE
like worldl link,POSITIVE
good service appreciated,POSITIVE
user unfriendly service,NEGATIVE
ok dherai ramro,POSITIVE
world linkthe name enough,POSITIVE
good,POSITIVE
yes im satisfied,POSITIVE
app slow,NEGATIVE
bad,NEGATIVE
good reviews wifi nepal,POSITIVE
nice lacking problem face,NEGATIVE
good,POSITIVE
good expensive,POSITIVE
tooooooooo slo,NEGATIVE
wow,POSITIVE
best internet access nepal,POSITIVE
useless,NEGATIVE
useful,POSITIVE
thanks providing quality service,POSITIVE
superb,POSITIVE
good,POSITIVE
good,POSITIVE
goog satisfied servise,POSITIVE
repair services fake messages worst service ever choose another company,NEGATIVE
great,POSITIVE
nice aaps,POSITIVE
working properly feature,POSITIVE
poor service,NEGATIVE
tait khatam app services also,POSITIVE
good,POSITIVE
good future,POSITIVE
wooooooownice,NEGATIVE
excellent,POSITIVE
usefull,POSITIVE
app keep opening app info screen instead simply launching app issue frustrating tried reinstalling app problem persists,NEGATIVE
recently updating app accessible try open app blue screen appears stays way minutes,NEGATIVE
device app isnt loading cleared storage tooo gave alll permission could give still loading,NEGATIVE
gives good internet service also fast repairing services thanks world link,POSITIVE
poor network quality always facing problems wanted give 0 star theres option im giving 1 star rating listen dont apply world link wifi home log every month sometime log even 2 3 times worst decision life apply company network,NEGATIVE
excellent,POSITIVE
best internet provider,POSITIVE
yo muji lado net ho,NEGATIVE
good,POSITIVE
one best internet service provider nepal,POSITIVE
app smooth internet really slow compared,NEGATIVE
smooth easy operation features good work worldlink team,POSITIVE
commendable reliable performance prompt response issues arise ensuring seamless efficient user experience,POSITIVE
nice,POSITIVE
worst network ever seen,NEGATIVE
best,POSITIVE
trash service ever pay money good connection internet connection,NEGATIVE
worst service ever care money customers,NEGATIVE
becoming worse worse,NEGATIVE
good,POSITIVE
useless service rude customer service,NEGATIVE
great,POSITIVE
excilent,NEGATIVE
nice,POSITIVE
good,POSITIVE
fast wifi,POSITIVE
nice,POSITIVE
nice,POSITIVE
useless app ever used doesnt work time change settings router whatever set reverts back mac filtering feature doesnt work support terrible close ticket without solving anything would recommend isp app worst enemy nt fiber available please choose,NEGATIVE
nice,POSITIVE
worst wifi thats seen line wifi router restarted gives internet 5 min,NEGATIVE
great work,POSITIVE
good,POSITIVE
worldink specially beacuse feature expensive like 24 g 5 g thanks,NEGATIVE
amazing brave,POSITIVE
wan na open worldlink wifi chrome browser login configure teach wan na configure setting like others wifi like dishhome wifi subisu wifi many type features,NEGATIVE
trash app,NEGATIVE
nice,POSITIVE
awesome,POSITIVE
good work,POSITIVE
worst network ever even taking data good theres major issues network think change network,NEGATIVE
wonder full,POSITIVE
worst app encountered using acess router settings full bugsesto ghatiya app xa ki device filtering garda problems ako ako garxa device add gareko add nai hudaina hairan banauxa esto app chai prayog nagarau dimag kharab banauxa,NEGATIVE
slow still need updates,NEGATIVE
helpful every 12 week got expired n need update pin look issues well,POSITIVE
good smooth faster,POSITIVE
nice,POSITIVE
worldlink wrost network nowadays low management technical system working properly like,NEGATIVE
far good,POSITIVE
bakwas internet xi,NEGATIVE
worst customer service ever experience entire life called 10times 1 things informed scenario time members call asking question guys maintain proper communication customer terminate link clear everything quickly 5days one visit pick router wires road disturbed public almost accident occurred due hanging wiresteam irresponsible,NEGATIVE
internet unstable especially night worst one bought,NEGATIVE
unknown status offline problem,NEGATIVE
worst experience ever using worldlink customer service good main thing internet speed worse,NEGATIVE
working well,POSITIVE
able sign,POSITIVE
app instead opening leads app info fix problem,NEGATIVE
quick responce,NEGATIVE
good useful,POSITIVE
bad appnot working properly,NEGATIVE
customer service sucks,NEGATIVE
add ability enabledisable dhcp,POSITIVE
good,POSITIVE
worst app app need contact information stealing data customer phone advertising,NEGATIVE
worldlink might worst service provider 3 days internet outage area contact hell expect contact app work internet point telephone services useless honestly lowest lows comes service wouldve given 0 stars option,NEGATIVE
sabai vanda gatiya vaneko worldlink hoo plz koi le ni yo use na garnu hola mai2 barsa chalai sakee jasoo tasoo gareraa aabha maile life worldlink use gardina ra hajurharu lai ni request garxhu ki na linu hola vanera,NEGATIVE
superb,POSITIVE
new update bad mac filtering working loading also speed test,NEGATIVE
fast service,POSITIVE
unstable ping playing night,NEGATIVE
world link team seeing thisi giving 1 star takes time installing app internet speed also fast bug solved yet satisfied installing app,NEGATIVE
good,POSITIVE
bad serviceinternet dropping dropping contact customer care multiple times yet solved,NEGATIVE
worst service internet till day 3 although mention problem overrated service provider,NEGATIVE
worldlink really needs work app slow,NEGATIVE
febret aap thanks,POSITIVE
nice app,POSITIVE
technican services poor kathmandu valley putalisadak provide technical assistance 1 day wrost service internet issue poor service,NEGATIVE
poor internet connection slow working experiences internet good,NEGATIVE
slow chalxa,NEGATIVE
good,POSITIVE
much amazing fast suggest aal nepalese use worldlink thank,POSITIVE
nice,POSITIVE
refer gareko bonus milena,POSITIVE
app straightup pointless half time im connected internet already app wont even open like make sense im trying connect worldlink free wifi using app boom crashes refuses load whats point wifi app needs wifi even function theres blacklist feature wow block device app takes forever next time open poof gone turn blacklisting turn backboom,NEGATIVE
useless even 67 kilometres away devices showing connected wifi,NEGATIVE
excellent experience,POSITIVE
almost good,POSITIVE
huge thanks worldlink communication services lodges along annapurna base camp trail offering steady wifi trek helps us stay connected loved ones share beauty himalayas real time,POSITIVE
app haina paila net bana mahina ko 15 din ta birinxa,NEGATIVE
nice,POSITIVE
recent update need run speed check reporting issue trying report issue connection slow connection diagnosis fails cant connect router unable report problem app need call support whose brilliant ideas first try connect router hit diagnosis missed small fact still use mobile data use app report problem,NEGATIVE
worldlink wifi slow wifi 0 star,NEGATIVE
super,POSITIVE
wlink acess router login page access ont 1921681254 worldlink seeing review providing router login page every people,NEGATIVE
good,POSITIVE
nice,POSITIVE
85 service good,POSITIVE
good,POSITIVE
third quality maintenance service poor customer service,NEGATIVE
05 5,POSITIVE
thank,POSITIVE
cant logging app,NEGATIVE
always something went wrong app,NEGATIVE
good,POSITIVE
bad updateit take tooo much time see conected deviceand cant block unknkwn user,NEGATIVE
excellent,POSITIVE
always restart app dont used 0ne two weeks,NEGATIVE
best app ever play store,POSITIVE
slow,NEGATIVE
poor service kuani aru option xaina yo internet bahek,NEGATIVE
poor net,NEGATIVE
excellent,POSITIVE
good,POSITIVE
lado jsto net mg zindagi gatilo chaldiana,POSITIVE
lezy network,NEGATIVE
best,POSITIVE
late service,NEGATIVE
ok,POSITIVE
pls download fast,POSITIVE
bad experience,NEGATIVE
good,POSITIVE
issues 1 month jhan aaja new year pani yestoferi yo tw aakdam naramro lagyo managed hoki k ho next time connect world link recommend,POSITIVE
best,POSITIVE
hella slow net bad app dont use instead go networks,NEGATIVE
app slow use,NEGATIVE
service good,POSITIVE
slow,NEGATIVE
good,POSITIVE
im extremely disappointed quality internet service providedthe connection constantly dropping speed far promised basic tasks like browsing streaming frustratingly slowive contacted customer support multiple times problem keeps coming back never resolved properlyi expect prompt fix proper explanation continues choice switch providers share experience publicly,NEGATIVE
excellent,POSITIVE
net good worldlink provided service time rating 05,POSITIVE
verdy good app,POSITIVE
times wifi goes internet without reason,NEGATIVE
1when start app mobile get disconnected wifi reconnect happen probably latest update 2 app work also without internet able open access router home networklan 3 need access sellect wifi bandchannel choice,NEGATIVE
good,POSITIVE
nice network cant restart password others mobile,POSITIVE
doesnt support device,NEGATIVE
app useful,POSITIVE
problems network aap solve mywordlink internet also fast,NEGATIVE
wifi solo xa kam xaina world link,NEGATIVE
still many rooms improvement like 1wifi settings 24ghz 5ghz seperately 2 option enabling secondary ssid guest 3 better support huawei router like restart router app basic functionality bug app although always better experience worldlink using worldlink wizoom wireless 512 kbps ftth 100 mbps,NEGATIVE
supe,NEGATIVE
working well,POSITIVE
service good till,POSITIVE
taken 200 mbps runs sometimes slow,NEGATIVE
app working slowly mac address setup,NEGATIVE
internet never works properly whenever theres issue calling customer support uselessthey never solve anything constant disconnections slow speeds make frustrating use definitely worth money,NEGATIVE
cant login email google facebook,NEGATIVE
sewa ramro x,NEGATIVE
malai worldlink ko sewa ramro lagyo,NEGATIVE
excellent,POSITIVE
app good ramro sanga banaunus,POSITIVE
fast good network uss4 years ago perfect work like woldlink net give five star,POSITIVE
good,POSITIVE
world link world show link din 2 chote report garyo tai pani show net kam xaina net,NEGATIVE
yo jasto slow app jindagi mai chalyena maile,NEGATIVE
good,POSITIVE
good network takes much time start,POSITIVE
good experience,POSITIVE
using worldlinkit good fun use,POSITIVE
good,POSITIVE
one best wifi faster fast network worldlink,POSITIVE
time net going automatic,POSITIVE
able manage wifi settingschange password new version fix fast,POSITIVE
nice app,POSITIVE
runs ads offers recharge wont get offered product always stock lol remove offers cants provide stocks users,NEGATIVE
slow network,NEGATIVE
good,POSITIVE
good,POSITIVE
good,POSITIVE
helpful app,POSITIVE
goooooood,POSITIVE
device filtering working slowly,NEGATIVE
worst app,NEGATIVE
nice,POSITIVE
good app,POSITIVE
good,POSITIVE
1 device 200 mbps internet download speed 05 mbps dont even want refund,NEGATIVE
good job,POSITIVE
ramro xa hai,NEGATIVE
nice,POSITIVE
slow app world work one day,NEGATIVE
good,POSITIVE
good service n useful information applicable thanks teams,POSITIVE
good,POSITIVE
link time wifi worldlink connaction mobile samsung galaxy f22thank please help please,POSITIVE
awesome,POSITIVE
good,POSITIVE
slow,NEGATIVE
good,POSITIVE
worst internet service provider nepal,NEGATIVE
useful app,POSITIVE
internet slow,NEGATIVE
supportive understanding,POSITIVE
good,POSITIVE
excellent,POSITIVE
great app specially qr passwords,POSITIVE
febret wouldlink,POSITIVE
congratulations,POSITIVE
easy navigate make changes,POSITIVE
app works late,NEGATIVE
bad app design many animation good little feature reason pages like connected device loadupdate slower vianet whitelistblacklist isnt intuitive list whitelisted device delete choose filtering none hard save list future use usage graph like vianet frustration app high,NEGATIVE
helpful network issues,POSITIVE
good service fast net,POSITIVE
absolute garbage nothing app functioning properly worldlink really needs improve mobile app straight trash,NEGATIVE
gud,NEGATIVE
excellent,POSITIVE
bad service mirchaiya brance,NEGATIVE
internet good,POSITIVE
mac filter smooth sync issue etc,NEGATIVE
login two devices time,NEGATIVE
added customer username password would easy login without sending otp,NEGATIVE
worst update update everything messed cant even hide ssid turn mac filter cant even block device doesnt show connected devices,NEGATIVE
best,POSITIVE
recently worst experience staff service,NEGATIVE
app working properly,POSITIVE
app doesnt respond takes much time view commected devices doesnt work properly add device mac address white list takes lot time,NEGATIVE
niceand wifi speed also nice dont know speed get slow night technical problem,POSITIVE
bad badi recommend nepalese dont use wifivery bad servicewe pay change locationthey cut internet without informationvery slow,NEGATIVE
average,POSITIVE
nice,POSITIVE
kam xaina yo app kai kam gardaina nepali mug le banako ta ho k chai kam deko xa ra aile samma mero blacklist pani basdaina whitelist pani basdaina koi user block garda ni hudaina password ni change hudaina ani k kam ho yo app ko,NEGATIVE
good,POSITIVE
shame yr password change garna ni mildaina username ni change garna mildaina connected device herna ni mildaina k khana banako ho app ki net nachalera vannu net tw ehai worldlink kai ho la 250 mbps wala last waiyat baayo yr uninstall garera reinstall garam vanya tyo ni mildaina thukka,NEGATIVE
good quality net,POSITIVE
good,POSITIVE
helpfull,POSITIVE
valuable app,POSITIVE
net slow go world link app says internet slow kicks app try data use go world link app app says unidentified network something kicks like reason im world link app rn due slow speed unstable connection gon na kick poor connection meanwhile service poor app useful world link isnt working,NEGATIVE
slow,NEGATIVE
good service,POSITIVE
net jasto xa app tyo vanda ni katam kailey gatilo huna cainae bela thuka ww,NEGATIVE
good,POSITIVE
app useless internet slow takes long time load check internet speed shows always fine even though internet speed low alot reporting feature ls dismissed,NEGATIVE
good network sometime poor,NEGATIVE
worst internet problems,NEGATIVE
worst app app gave headache slow trying block someone nothing happened,NEGATIVE
kripaya fake reviews haru na denu hola world slowest internet bhanako nae world link ho like wire ko problem aayo bhaney ne 3 days lagxa banaunu,NEGATIVE
geda jasto chalxa tapai agar game khelnu hunxa ani ghar 34 jana manxe haru aajhai khelxan vane yo net na lekai thik xa game khelne garxu ping kahilee pani ramro didaina k ta ris uthi sakyo tetro dherai paisa tirerw gooo jasto net dinxa k vanu aba,NEGATIVE
good,POSITIVE
plz connection problem solve,NEGATIVE
slowly working bad,NEGATIVE
bad,NEGATIVE
good,POSITIVE
new year speaker ra airpod ko offer baki cha tara stock chaina kasto offer ho yo,NEGATIVE
good,POSITIVE
good app,POSITIVE
working properly,POSITIVE
pin patiho,NEGATIVE
think wifi users nepal use network,NEGATIVE
like much great service im going outside also every place im online great,POSITIVE
aap best app world,POSITIVE
good,POSITIVE
good like good,POSITIVE
nice good world link,POSITIVE
internet app also wont login,POSITIVE
good,POSITIVE
waste pisc,NEGATIVE
net problem ho yesto ramro net vanako yai ho ki k ho ghar ghar aayera promotion hanako yai ho aba world link na halako ko ghar gayera na halnu vanxu,NEGATIVE
cond jasto net xa mu aajha rocket ko advertise garnu mu cond jasto net xa mu aajha rocket ko advertise garnu mu,NEGATIVE
pathetic,NEGATIVE
slow xa wifi app ko,NEGATIVE
vary hang wifi vary costly also dont use,NEGATIVE
experiencing lot problems like blacklisting users one users blocked time try block one another cant also issues internet connection since weeks 900 pm also forgot tell writing review internet speed 550 40 50 kps,NEGATIVE
cant open properly many bugs app even cant change password login ta hudaina password tada ko kura,NEGATIVE
worlink limits deserves negetive stars hawa app matra banaayera huncha worlink app khulna 5 mins laagcha slow internet le app shows everything fine toit hawa paisa thaguwa worldlink yeta jathaa haru lai bann garnu parcha nepal bata haddd huncha ni yaar customer thugne pani,NEGATIVE
nepali ta ho kaam kaam aarau dha attitude hunxa kosle bana hola yo app kaam nai na lhag ne router restart hannera slow net kasare fox hunxa muji,NEGATIVE
bugs myworldlinks,NEGATIVE
worst thing worldlink wifi house trying open data wifi slow even speed supposed 72mbps,NEGATIVE
world slowest internet,NEGATIVE
dont stop net night dam playing game time,POSITIVE
client since 2017once internet app access offline even though one tries use via mobile datathe call centre would 30 waiting million customer wait u get person talk act fix internet via phonehaving huge customer base boosting thier monopoly egothey lack customer service alotone doesnt option change due issue,NEGATIVE
slow,NEGATIVE
muji khate wifi,NEGATIVE
always slow,NEGATIVE
worst internet ever experienced bcz ko bad internet control angry one worst service ever seen,NEGATIVE
week service,POSITIVE
fast,POSITIVE
slow device filtering buggy options always error dont change anything,NEGATIVE
downloading,POSITIVE
fast internet worldlink,POSITIVE
good experience,POSITIVE
slow net,NEGATIVE
good speed,POSITIVE
facilities,POSITIVE
time good far,POSITIVE
net slow,NEGATIVE
band steering option working,POSITIVE
good,POSITIVE
super,POSITIVE
good,POSITIVE
nice,POSITIVE
excellent,POSITIVE
mac filtaring apply garna garo cha yeutaa add garna 50 choti garnu parcha yo issue solved garidinus,NEGATIVE
0 customer care service,POSITIVE
experience worldlink would give 5 stars internet facilities,POSITIVE
well,POSITIVE
internet usage updated daily basistoday january 23 check internet usageit showing january 1 2 rest ok,NEGATIVE
perfect app,POSITIVE
wow,POSITIVE
good,POSITIVE
doesnt work properly takes much processing time open app try change password also try device filter doesnt work one time try 10 times filtering try put devices mac address doesnt work one time take 5 times add one device,NEGATIVE
good,POSITIVE
gon na destroy package end,NEGATIVE
good,POSITIVE
good internet providers,POSITIVE
logging doesnt provide otp every time,NEGATIVE
ghuu jasto net xa timi haru service ni slow,NEGATIVE
poor connection frustrated,NEGATIVE
worldlink support team hope message finds well recently upgraded new worldlink app noticed longer allows access router settings controls feature available older version app functionality extremely useful managing monitoring network efficiently could please clarify feature removed new method access router settings updated app feature,NEGATIVE
thank,POSITIVE
good,POSITIVE
login two devices,NEGATIVE
become easier take online classes using data mobile phone raining problem internet work due reasons problem longer easy see listen online activities happened countries,NEGATIVE
good,POSITIVE
app average connection seems bad like disaster subscribed 200 mbps package receiving like 50 mbps wow scam top isp nepal complain said use 5 ghz band really bunch scammer made corrupted people nation,NEGATIVE
nice,POSITIVE
good,POSITIVE
thanku,POSITIVE
poor,NEGATIVE
using 5years worldlink fuch service customer bad service please everyone dont join worldlink,NEGATIVE
nice,POSITIVE
app isnt working anymore 1 month,NEGATIVE
ro much bugs,NEGATIVE
super,POSITIVE
worst app ever,NEGATIVE
cant report like stuck diagnosis fix,NEGATIVE
